Natural	ADJamodNOUN	language	0
,	PUNCTpunctVERB	apply	4
but	CCONJccVERB	apply	4
more	ADVadvmodADV	recently	4
recently	ADVadvmodVERB	apply	4
CNNs	PROPNnsubj:passVERB	apply	4
have	AUXauxVERB	apply	4
be	AUXaux:passVERB	apply	4
apply	VERBconjVERB	associate	4
to	ADPcaseNOUN	problem	4
apply	VERBrev_oblNOUN	problem	4
4	ABOUT	problem	4
in	ADPcaseNOUN	nlp	4
nlp	NOUNnmodNOUN	problem	4
.	PUNCTpunctVERB	associate	4
in	ADPcaseNOUN	addition	5
be	VERBrev_oblNOUN	addition	5
5	ABOUT	addition	5
,	PUNCTpunctVERB	be	5
there	PRONexplVERB	be	5
be	VERB_PREDICATE_OF	5	5
many	ADJamodNOUN	model	5
other	ADJamodNOUN	model	5
be	VERBrev_nsubjNOUN	model	5
5	ABOUT	model	5
be	AUXaux:passVERB	apply	5
apply	VERBaclNOUN	model	5
to	ADPcaseNOUN	nlp	5
apply	VERBrev_oblNOUN	nlp	5
5	ABOUT	nlp	5
include	VERBcaseNOUN	word	5
word	NOUNcompoundNOUN	representation	5
word	NOUNinCOMPOUND	word representation	5
representation	NOUNinCOMPOUND	word representation	5
5	ABOUT	word representation	5
vector	NOUNcompoundNOUN	representation	5
vector	NOUNinCOMPOUND	vector representation	5
representation	NOUNinCOMPOUND	vector representation	5
5	ABOUT	vector representation	5
representation	NOUNnmodNOUN	nlp	5
,	PUNCTpunctNOUN	network	5
window	NOUNcompoundVERB	base	5
window	NOUNinCOMPOUND	window base	5
base	VERBinCOMPOUND	window base	5
5	ABOUT	window base	5
-	PUNCTpunctVERB	base	5
base	VERBamodNOUN	network	5
neural	ADJamodNOUN	network	5
network	NOUNconjNOUN	representation	5
,	PUNCTpunctNOUN	network	5
recurrent	ADJamodNOUN	network	5
neural	ADJamodNOUN	network	5
network	NOUNconjNOUN	representation	5
,	PUNCTpunctNOUN	model	5
long	ADJamodNOUN	model	5
-	PUNCTpunctNOUN	model	5
short	ADJamodNOUN	term	5
-	PUNCTpunctNOUN	term	5
term	NOUNcompoundNOUN	memory	5
term	NOUNinCOMPOUND	term memory	5
memory	NOUNinCOMPOUND	term memory	5
5	ABOUT	term memory	5
-	PUNCTpunctNOUN	memory	5
memory	NOUNcompoundNOUN	model	5
memory	NOUNinCOMPOUND	memory model	5
model	NOUNinCOMPOUND	memory model	5
5	ABOUT	memory model	5
model	NOUNconjNOUN	representation	5
,	PUNCTpunctNOUN	network	5
recursive	ADJamodNOUN	network	5
neural	ADJamodNOUN	network	5
network	NOUNconjNOUN	representation	5
,	PUNCTpunctNOUN	other	5
and	CCONJccNOUN	other	5
other	NOUNconjNOUN	representation	5
.	PUNCTpunctVERB	be	5
[	PUNCTpunctNOUN	article	6
related	ADJamodNOUN	article	6
article	NOUN_PREDICATE_OF	6	6
:	PUNCTpunctNOUN	article	6
the	DETdetPROPN	Research	6
most	ADVadvmodPROPN	Influential	6
Influential	PROPNcompoundPROPN	Research	6
Influential	PROPNinCOMPOUND	Influential Research	6
Research	PROPNinCOMPOUND	Influential Research	6
6	ABOUT	Influential Research	6
deep	PROPNcompoundPROPN	Learning	6
deep	PROPNinCOMPOUND	deep Learning	6
Learning	PROPNinCOMPOUND	deep Learning	6
6	ABOUT	deep Learning	6
Learning	PROPNcompoundPROPN	Research	6
Learning	PROPNinCOMPOUND	Learning Research	6
Research	PROPNinCOMPOUND	Learning Research	6
6	ABOUT	Learning Research	6
Research	PROPNapposNOUN	article	6
of	ADPcaseNUM	2019	6
2019	NUMnmodPROPN	Research	6
]	PUNCTpunctNOUN	article	6
in	ADPcaseNOUN	article	7
this	DETdetNOUN	article	7
help	VERBrev_oblNOUN	article	7
7	ABOUT	article	7
,	PUNCTpunctVERB	help	7
I	PRONnsubjVERB	help	7
will	AUXauxVERB	help	7
help	VERB_PREDICATE_OF	7	7
get	VERBxcompVERB	help	7
you	PRONiobjVERB	get	7
up	ADPcompound:prtVERB	get	7
get	VERBrev_objNOUN	speed	7
7	ABOUT	speed	7
with	ADPcaseNOUN	effort	7
current	ADJamodNOUN	effort	7
nlp	NOUNcompoundNOUN	research	7
nlp	NOUNinCOMPOUND	nlp research	7
research	NOUNinCOMPOUND	nlp research	7
7	ABOUT	nlp research	7
research	NOUNcompoundNOUN	effort	7
research	NOUNinCOMPOUND	research effort	7
effort	NOUNinCOMPOUND	research effort	7
7	ABOUT	research effort	7
get	VERBrev_oblNOUN	effort	7
7	ABOUT	effort	7
by	SCONJmarkVERB	curate	7
curate	VERBadvclVERB	get	7
a	DETdetNOUN	list	7
curate	VERBrev_objNOUN	list	7
7	ABOUT	list	7
of	ADPcaseNOUN	research	7
the	DETdetNOUN	research	7
best	ADJamodNOUN	research	7
nlp	NOUNcompoundNOUN	research	7
nlp	NOUNinCOMPOUND	nlp research	7
research	NOUNinCOMPOUND	nlp research	7
7	ABOUT	nlp research	7
research	NOUNnmodNOUN	list	7
of	ADPcaseNUM	2019	7
2019	NUMnmodNOUN	research	7
on	ADPcaseNOUN	arxiv.org	7
arxiv.org	NOUNnmodNOUN	research	7
down	ADVadvmodVERB	curate	7
to	ADPcaseNOUN	list	7
the	DETdetNOUN	list	7
manageable	ADJamodNOUN	list	7
short	ADJamodNOUN	list	7
-	PUNCTpunctNOUN	list	7
down	ADVrev_oblNOUN	list	7
7	ABOUT	list	7
of	ADPcaseNOUN	favorite	7
my	PRONnmod:possNOUN	favorite	7
favorite	NOUNnmodNOUN	list	7
below	ADVadvmodNOUN	favorite	7
.	PUNCTpunctVERB	help	7
enjoy	VERB_PREDICATE_OF	8	8
!	PUNCTpunctVERB	enjoy	8
BERT	PROPN_PREDICATE_OF	9	9
:	PUNCTpunctPROPN	BERT	9
introduce	VERBrev_nsubjNOUN	pre-training	9
9	ABOUT	pre-training	9
of	ADPcaseNOUN	transformer	9
deep	ADJamodNOUN	transformer	9
bidirectional	ADJamodNOUN	transformer	9
transformer	NOUNnmodNOUN	pre-training	9
for	ADPcaseNOUN	understanding	9
language	NOUNcompoundNOUN	understanding	9
language	NOUNinCOMPOUND	language understanding	9
understanding	NOUNinCOMPOUND	language understanding	9
9	ABOUT	language understanding	9
understanding	NOUNnmodNOUN	transformer	9
Google	PROPNcompoundNOUN	researcher	9
Google	PROPNinCOMPOUND	Google researcher	9
researcher	NOUNinCOMPOUND	Google researcher	9
9	ABOUT	Google researcher	9
AI	PROPNcompoundNOUN	researcher	9
AI	PROPNinCOMPOUND	AI researcher	9
researcher	NOUNinCOMPOUND	AI researcher	9
9	ABOUT	AI researcher	9
language	NOUNcompoundNOUN	researcher	9
language	NOUNinCOMPOUND	language researcher	9
researcher	NOUNinCOMPOUND	language researcher	9
9	ABOUT	language researcher	9
introduce	VERBrev_nsubjNOUN	researcher	9
9	ABOUT	researcher	9
introduce	VERBparataxisPROPN	BERT	9
a	DETdetNOUN	model	9
new	ADJamodNOUN	model	9
language	NOUNcompoundNOUN	representation	9
language	NOUNinCOMPOUND	language representation	9
representation	NOUNinCOMPOUND	language representation	9
9	ABOUT	language representation	9
representation	NOUNcompoundNOUN	model	9
representation	NOUNinCOMPOUND	representation model	9
model	NOUNinCOMPOUND	representation model	9
9	ABOUT	representation model	9
introduce	VERBrev_objNOUN	model	9
9	ABOUT	model	9
call	VERBaclNOUN	model	9
BERT	PROPNxcompVERB	call	9
,	PUNCTpunctPROPN	BERT	9
which	PRONnsubjVERB	stand	9
stand	VERBacl:relclNOUN	model	9
for	ADPcaseNOUN	representation	9
bidirectional	ADJamodNOUN	representation	9
encoder	NOUNcompoundNOUN	representation	9
encoder	NOUNinCOMPOUND	encoder representation	9
representation	NOUNinCOMPOUND	encoder representation	9
9	ABOUT	encoder representation	9
stand	VERBrev_oblNOUN	representation	9
9	ABOUT	representation	9
from	ADPcaseNOUN	transformer	9
transformer	NOUNnmodNOUN	representation	9
.	PUNCTpunctPROPN	BERT	9
unlike	ADPcaseNOUN	model	10
recent	ADJamodNOUN	model	10
language	NOUNcompoundNOUN	representation	10
language	NOUNinCOMPOUND	language representation	10
representation	NOUNinCOMPOUND	language representation	10
10	ABOUT	language representation	10
representation	NOUNcompoundNOUN	model	10
representation	NOUNinCOMPOUND	representation model	10
model	NOUNinCOMPOUND	representation model	10
10	ABOUT	representation model	10
design	VERBrev_oblNOUN	model	10
10	ABOUT	model	10
,	PUNCTpunctVERB	design	10
BERT	PROPNnsubj:passVERB	design	10
be	AUXaux:passVERB	design	10
design	VERB_PREDICATE_OF	10	10
to	PARTmarkVERB	pre-train	10
pre-train	VERBxcompVERB	design	10
deep	ADJamodNOUN	representation	10
bidirectional	ADJamodNOUN	representation	10
pre-train	VERBrev_objNOUN	representation	10
10	ABOUT	representation	10
from	ADPcaseNOUN	text	10
unlabel	VERBamodNOUN	text	10
text	NOUNnmodNOUN	representation	10
by	SCONJmarkNOUN	conditioning	10
jointly	ADVadvmodNOUN	conditioning	10
conditioning	NOUNadvclVERB	pre-train	10
on	ADPcaseNOUN	context	10
both	DETdetNOUN	context	10
left	ADJamodNOUN	context	10
and	CCONJccADJ	right	10
right	ADJconjADJ	left	10
context	NOUNnmodNOUN	conditioning	10
in	ADPcaseNOUN	layer	10
all	DETdetNOUN	layer	10
layer	NOUNnmodNOUN	context	10
.	PUNCTpunctVERB	design	10
as	ADPcaseNOUN	result	11
a	DETdetNOUN	result	11
tune	VERBrev_oblNOUN	result	11
11	ABOUT	result	11
,	PUNCTpunctVERB	tune	11
the	DETdetPROPN	BERT	11
pre-trained	ADJamodPROPN	BERT	11
BERT	PROPNnsubj:passVERB	tune	11
model	NOUNflatPROPN	BERT	11
model	NOUNinCOMPOUND	model BERT	11
BERT	PROPNinCOMPOUND	model BERT	11
11	ABOUT	model BERT	11
can	AUXauxVERB	tune	11
be	AUXaux:passVERB	tune	11
fine	ADJadvmodVERB	tune	11
-	PUNCTpunctVERB	tune	11
tune	VERB_PREDICATE_OF	11	11
with	ADPcaseNOUN	layer	11
just	ADVadvmodNOUN	layer	11
one	NUMnummodNOUN	layer	11
additional	ADJamodNOUN	layer	11
output	NOUNcompoundNOUN	layer	11
output	NOUNinCOMPOUND	output layer	11
layer	NOUNinCOMPOUND	output layer	11
11	ABOUT	output layer	11
tune	VERBrev_oblNOUN	layer	11
11	ABOUT	layer	11
to	PARTmarkVERB	create	11
create	VERBaclNOUN	layer	11
state	NOUNcompoundNOUN	model	11
state	NOUNinCOMPOUND	state model	11
model	NOUNinCOMPOUND	state model	11
11	ABOUT	state model	11
-	PUNCTpunctNOUN	state	11
of	ADPcaseNOUN	art	11
-	PUNCTpunctNOUN	art	11
the	DETdetNOUN	art	11
-	PUNCTpunctNOUN	art	11
art	NOUNnmodNOUN	state	11
create	VERBrev_objNOUN	model	11
11	ABOUT	model	11
for	ADPcaseNOUN	range	11
a	DETdetNOUN	range	11
wide	ADJamodNOUN	range	11
create	VERBrev_oblNOUN	range	11
11	ABOUT	range	11
of	ADPcaseNOUN	task	11
task	NOUNnmodNOUN	range	11
,	PUNCTpunctNOUN	range	11
such	ADJcaseNOUN	answer	11
as	ADPfixedADJ	such	11
question	NOUNcompoundNOUN	answer	11
question	NOUNinCOMPOUND	question answer	11
answer	NOUNinCOMPOUND	question answer	11
11	ABOUT	question answer	11
answer	NOUNnmodNOUN	range	11
and	CCONJccNOUN	inference	11
language	NOUNcompoundNOUN	inference	11
language	NOUNinCOMPOUND	language inference	11
inference	NOUNinCOMPOUND	language inference	11
11	ABOUT	language inference	11
inference	NOUNconjNOUN	answer	11
,	PUNCTpunctNOUN	range	11
without	ADPcaseNOUN	modification	11
substantial	ADJamodNOUN	modification	11
specific	ADJrev_obl:npmodNOUN	task	11
11	ABOUT	task	11
-	PUNCTpunctADJ	specific	11
specific	ADJamodNOUN	modification	11
architecture	NOUNcompoundNOUN	modification	11
architecture	NOUNinCOMPOUND	architecture modification	11
modification	NOUNinCOMPOUND	architecture modification	11
11	ABOUT	architecture modification	11
modification	NOUNnmodNOUN	range	11
.	PUNCTpunctVERB	tune	11
BERT	PROPNnsubjADJ	simple	12
be	AUXcopADJ	simple	12
conceptually	ADVadvmodADJ	simple	12
simple	ADJ_PREDICATE_OF	12	12
and	CCONJccADJ	powerful	12
empirically	ADVadvmodADJ	powerful	12
powerful	ADJconjADJ	simple	12
.	PUNCTpunctADJ	simple	12
the	DETdetNOUN	state	13
repository	NOUNrev_nsubjNOUN	state	13
13	ABOUT	state	13
of	ADPcaseNOUN	literature	13
nlp	NOUNcompoundNOUN	literature	13
nlp	NOUNinCOMPOUND	nlp literature	13
literature	NOUNinCOMPOUND	nlp literature	13
13	ABOUT	nlp literature	13
repository	NOUNrev_nsubjNOUN	literature	13
13	ABOUT	literature	13
:	PUNCTpunctNOUN	repository	13
a	DETdetNOUN	Analysis	13
diachronic	ADJamodNOUN	Analysis	13
repository	NOUNrev_nsubjNOUN	Analysis	13
13	ABOUT	Analysis	13
of	ADPcasePROPN	Anthology	13
the	DETdetPROPN	Anthology	13
ACL	PROPNcompoundPROPN	Anthology	13
ACL	PROPNinCOMPOUND	ACL Anthology	13
Anthology	PROPNinCOMPOUND	ACL Anthology	13
13	ABOUT	ACL Anthology	13
Anthology	PROPNnmodNOUN	Analysis	13
the	DETdetPROPN	Anthology	13
ACL	PROPNcompoundPROPN	Anthology	13
ACL	PROPNinCOMPOUND	ACL Anthology	13
Anthology	PROPNinCOMPOUND	ACL Anthology	13
13	ABOUT	ACL Anthology	13
Anthology	PROPNapposNOUN	Analysis	13
(	PUNCTpunctNOUN	aa	13
aa	NOUNapposPROPN	Anthology	13
)	PUNCTpunctNOUN	aa	13
be	AUXcopNOUN	repository	13
a	DETdetNOUN	repository	13
digital	ADJamodNOUN	repository	13
repository	NOUN_PREDICATE_OF	13	13
of	ADPcaseNOUN	ten	13
ten	NOUNnmodNOUN	repository	13
of	ADPcaseNOUN	thousand	13
thousand	NOUNnmodNOUN	ten	13
of	ADPcaseNOUN	article	13
article	NOUNnmodNOUN	thousand	13
on	ADPcaseNOUN	processing	13
Natural	ADJamodNOUN	language	13
language	NOUNcompoundNOUN	processing	13
language	NOUNinCOMPOUND	language processing	13
processing	NOUNinCOMPOUND	language processing	13
13	ABOUT	language processing	13
processing	NOUNnmodNOUN	article	13
(	PUNCTpunctNOUN	nlp	13
nlp	NOUNapposNOUN	processing	13
)	PUNCTpunctNOUN	nlp	13
.	PUNCTpunctNOUN	repository	13
this	DETdetNOUN	paper	14
examine	VERBrev_nsubjNOUN	paper	14
14	ABOUT	paper	14
examine	VERB_PREDICATE_OF	14	14
the	DETdetNOUN	literature	14
examine	VERBrev_objNOUN	literature	14
14	ABOUT	literature	14
as	ADPcaseADJ	whole	14
a	DETdetADJ	whole	14
whole	ADJoblVERB	examine	14
to	PARTmarkVERB	identify	14
identify	VERBadvclVERB	examine	14
broad	ADJamodNOUN	trend	14
identify	VERBrev_objNOUN	trend	14
14	ABOUT	trend	14
in	ADPcaseNOUN	productivity	14
productivity	NOUNnmodNOUN	trend	14
,	PUNCTpunctNOUN	focus	14
focus	NOUNconjNOUN	productivity	14
,	PUNCTpunctNOUN	impact	14
and	CCONJccNOUN	impact	14
impact	NOUNconjNOUN	productivity	14
.	PUNCTpunctVERB	examine	14
it	PRONnsubjVERB	present	15
present	VERB_PREDICATE_OF	15	15
the	DETdetNOUN	analysis	15
present	VERBrev_objNOUN	analysis	15
15	ABOUT	analysis	15
in	ADPcaseNOUN	sequence	15
a	DETdetNOUN	sequence	15
sequence	NOUNnmodNOUN	analysis	15
of	ADPcaseNOUN	question	15
question	NOUNnmodNOUN	sequence	15
and	CCONJccNOUN	answer	15
answer	NOUNconjNOUN	question	15
.	PUNCTpunctVERB	present	15
the	DETdetNOUN	goal	16
be	VERBrev_nsubjNOUN	goal	16
16	ABOUT	goal	16
be	VERB_PREDICATE_OF	16	16
to	PARTmarkVERB	record	16
record	VERBccompVERB	be	16
the	DETdetNOUN	state	16
record	VERBrev_objNOUN	state	16
16	ABOUT	state	16
of	ADPcaseNOUN	literature	16
the	DETdetNOUN	literature	16
aa	NOUNcompoundNOUN	literature	16
aa	NOUNinCOMPOUND	aa literature	16
literature	NOUNinCOMPOUND	aa literature	16
16	ABOUT	aa literature	16
literature	NOUNnmodNOUN	state	16
:	PUNCTpunctNOUN	state	16
(	PUNCTpunctPRON	i	16
i	PRONapposNOUN	literature	16
)	PUNCTpunctPRON	i	16
who	PRONobjVERB	publish	16
and	CCONJccVERB	publish	16
how	ADVadvmodADJ	many	16
many	ADJnsubjVERB	publish	16
of	ADPcasePRON	we	16
we	PRONnmodADJ	many	16
be	AUXauxVERB	publish	16
publish	VERBacl:relclNOUN	literature	16
?	PUNCTpunctVERB	be	16
(	PUNCTpunctX	ii	17
ii	XnummodVERB	publish	17
)	PUNCTpunctX	ii	17
what	PRONoblVERB	publish	17
be	AUXauxVERB	publish	17
we	PRONnsubjVERB	publish	17
publish	VERB_PREDICATE_OF	17	17
on	ADPcasePRON	what	17
?	PUNCTpunctVERB	publish	17
(	PUNCTpunctX	iii	18
iii	XnummodVERB	publish	18
)	PUNCTpunctX	iii	18
where	ADVadvmodVERB	publish	18
and	CCONJccVERB	publish	18
in	SCONJconjADV	where	18
what	DETdetNOUN	form	18
form	NOUNconjADV	where	18
be	AUXauxVERB	publish	18
we	PRONnsubjVERB	publish	18
publish	VERB_PREDICATE_OF	18	18
?	PUNCTpunctVERB	publish	18
and	CCONJccPRON	what	19
(	PUNCTpunctX	iv	19
iv	XnummodPRON	what	19
)	PUNCTpunctX	iv	19
what	PRON_PREDICATE_OF	19	19
be	AUXcopPRON	what	19
the	DETdetNOUN	impact	19
what	PRONrev_nsubjNOUN	impact	19
19	ABOUT	impact	19
of	ADPcaseNOUN	publication	19
we	PRONnmod:possNOUN	publication	19
publication	NOUNnmodNOUN	impact	19
?	PUNCTpunctPRON	what	19
the	DETdetNOUN	answer	20
form	NOUNrev_nsubjNOUN	answer	20
20	ABOUT	answer	20
be	AUXcopNOUN	form	20
usually	ADVadvmodNOUN	form	20
in	ADPcaseNOUN	form	20
the	DETdetNOUN	form	20
form	NOUN_PREDICATE_OF	20	20
of	ADPcaseNOUN	number	20
number	NOUNnmodNOUN	form	20
,	PUNCTpunctNOUN	graph	20
graph	NOUNconjNOUN	number	20
,	PUNCTpunctNOUN	visualization	20
and	CCONJccNOUN	visualization	20
inter-connected	ADJamodNOUN	visualization	20
visualization	NOUNconjNOUN	number	20
.	PUNCTpunctNOUN	form	20
special	ADJamodNOUN	emphasis	21
lay	VERBrev_nsubj:passNOUN	emphasis	21
21	ABOUT	emphasis	21
be	AUXaux:passVERB	lay	21
lay	VERB_PREDICATE_OF	21	21
on	ADPcaseNOUN	demographic	21
the	DETdetNOUN	demographic	21
lay	VERBrev_oblNOUN	demographic	21
21	ABOUT	demographic	21
and	CCONJccNOUN	inclusiveness	21
inclusiveness	NOUNconjNOUN	demographic	21
of	ADPcaseNOUN	publishing	21
nlp	NOUNcompoundNOUN	publishing	21
nlp	NOUNinCOMPOUND	nlp publishing	21
publishing	NOUNinCOMPOUND	nlp publishing	21
21	ABOUT	nlp publishing	21
publishing	NOUNnmodNOUN	demographic	21
.	PUNCTpunctVERB	lay	21
eraser	NOUN_PREDICATE_OF	22	22
:	PUNCTpunctNOUN	eraser	22
a	DETdetNOUN	benchmark	22
base	VERBrev_nsubj:passNOUN	benchmark	22
22	ABOUT	benchmark	22
to	PARTmarkVERB	evaluate	22
evaluate	VERBaclNOUN	benchmark	22
rationalize	VERBamodNOUN	model	22
NLP	PROPNcompoundNOUN	model	22
NLP	PROPNinCOMPOUND	NLP model	22
model	NOUNinCOMPOUND	NLP model	22
22	ABOUT	NLP model	22
model	NOUNcompoundNOUN	model	22
model	NOUNinCOMPOUND	model model	22
model	NOUNinCOMPOUND	model model	22
22	ABOUT	model model	22
state	NOUNcompoundNOUN	model	22
state	NOUNinCOMPOUND	state model	22
model	NOUNinCOMPOUND	state model	22
22	ABOUT	state model	22
-	PUNCTpunctNOUN	state	22
of	ADPcaseNOUN	art	22
-	PUNCTpunctNOUN	art	22
the	DETdetNOUN	art	22
-	PUNCTpunctNOUN	art	22
art	NOUNnmodNOUN	state	22
evaluate	VERBrev_objNOUN	model	22
22	ABOUT	model	22
in	ADPcaseNOUN	nlp	22
nlp	NOUNnmodNOUN	model	22
be	AUXaux:passVERB	base	22
now	ADVadvmodVERB	base	22
predominantly	ADVadvmodVERB	base	22
base	VERBapposNOUN	eraser	22
on	ADPcaseNOUN	network	22
deep	ADJamodNOUN	network	22
neural	ADJamodNOUN	network	22
base	VERBrev_oblNOUN	network	22
22	ABOUT	network	22
that	PRONnsubjADJ	opaque	22
be	AUXcopADJ	opaque	22
generally	ADVadvmodADJ	opaque	22
opaque	ADJacl:relclNOUN	network	22
in	ADPcaseNOUN	term	22
opaque	ADJrev_oblNOUN	term	22
22	ABOUT	term	22
of	SCONJmarkVERB	come	22
how	ADVadvmodVERB	come	22
they	PRONnsubjVERB	come	22
come	VERBaclNOUN	term	22
to	ADPcaseNOUN	prediction	22
specific	ADJamodNOUN	prediction	22
come	VERBrev_oblNOUN	prediction	22
22	ABOUT	prediction	22
.	PUNCTpunctNOUN	eraser	22
this	DETdetNOUN	limitation	23
lead	VERBrev_nsubjNOUN	limitation	23
23	ABOUT	limitation	23
have	AUXauxVERB	lead	23
lead	VERB_PREDICATE_OF	23	23
to	ADPcaseNOUN	interest	23
increase	VERBamodNOUN	interest	23
lead	VERBrev_oblNOUN	interest	23
23	ABOUT	interest	23
in	SCONJmarkVERB	design	23
design	VERBaclNOUN	interest	23
more	ADVadvmodADJ	interpretable	23
interpretable	ADJamodNOUN	model	23
deep	ADJamodNOUN	model	23
design	VERBrev_objNOUN	model	23
23	ABOUT	model	23
for	ADPcaseNOUN	nlp	23
nlp	NOUNnmodNOUN	model	23
that	PRONnsubjVERB	reveal	23
can	AUXauxVERB	reveal	23
reveal	VERBacl:relclNOUN	nlp	23
the	DETdetNOUN	reasoning	23
`	PUNCTpunctNOUN	reasoning	23
reveal	VERBrev_objNOUN	reasoning	23
23	ABOUT	reasoning	23
'	PUNCTpunctNOUN	reasoning	23
underlying	ADJamodNOUN	output	23
model	NOUNcompoundNOUN	output	23
model	NOUNinCOMPOUND	model output	23
output	NOUNinCOMPOUND	model output	23
23	ABOUT	model output	23
reveal	VERBrev_objNOUN	output	23
23	ABOUT	output	23
.	PUNCTpunctVERB	lead	23
but	CCONJccVERB	conduct	24
conduct	VERBrev_nsubj:passNOUN	work	24
24	ABOUT	work	24
in	ADPcaseNOUN	direction	24
this	DETdetNOUN	direction	24
direction	NOUNnmodNOUN	work	24
have	AUXauxVERB	conduct	24
be	AUXaux:passVERB	conduct	24
conduct	VERB_PREDICATE_OF	24	24
on	ADPcaseNOUN	dataset	24
different	ADJamodNOUN	dataset	24
conduct	VERBrev_oblNOUN	dataset	24
24	ABOUT	dataset	24
and	CCONJccNOUN	task	24
task	NOUNconjNOUN	dataset	24
with	ADPcaseNOUN	aim	24
